,player,team,week,opp,loc,res,rush_attempts,rush_yards,yards_per_rush,rush_TD,targets,receptions,rec_yards,yards_per_rec,rec_TD,fantasy_points
1,Ameer_Abdullah,DET,1.0,IND,away,W 39-35,12.0,63.0,5.3,0.0,5.0,5.0,57.0,11.4,1.0,20.5
2,Ameer_Abdullah,DET,2.0,TEN,home,L 15-16,6.0,38.0,6.3,0.0,0.0,0.0,0.0,,0.0,3.8
4,Jay_Ajayi,MIA,2.0,NE,away,L 24-31,5.0,14.0,2.8,0.0,4.0,4.0,31.0,7.8,0.0,4.5
5,Jay_Ajayi,MIA,3.0,CLE,home,W 30-24,7.0,28.0,4.0,1.0,0.0,0.0,0.0,,0.0,8.8
6,Jay_Ajayi,MIA,4.0,CIN,away,L 7-22,6.0,33.0,5.5,0.0,2.0,2.0,13.0,6.5,0.0,5.6
7,Jay_Ajayi,MIA,5.0,TEN,home,L 17-30,13.0,42.0,3.2,1.0,1.0,0.0,0.0,,0.0,10.2
8,Jay_Ajayi,MIA,6.0,PIT,home,W 30-15,25.0,204.0,8.2,2.0,2.0,1.0,3.0,3.0,0.0,33.2
9,Jay_Ajayi,MIA,7.0,BUF,home,W 28-25,28.0,214.0,7.6,1.0,1.0,1.0,2.0,2.0,0.0,28.1
11,Javorius_Allen,BAL,4.0,OAK,home,L 27-28,3.0,13.0,4.3,0.0,3.0,2.0,15.0,7.5,0.0,3.8
12,Javorius_Allen,BAL,5.0,WAS,home,L 10-16,4.0,18.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,2.3
14,C.J._Anderson,DEN,1.0,CAR,home,W 21-20,20.0,92.0,4.6,1.0,5.0,4.0,47.0,11.8,1.0,27.9
15,C.J._Anderson,DEN,2.0,IND,home,W 34-20,20.0,74.0,3.7,1.0,5.0,3.0,19.0,6.3,0.0,16.8
16,C.J._Anderson,DEN,3.0,CIN,away,W 29-17,14.0,37.0,2.6,0.0,4.0,1.0,4.0,4.0,0.0,4.6
17,C.J._Anderson,DEN,4.0,TB,away,W 27-7,19.0,49.0,2.6,1.0,1.0,1.0,3.0,3.0,0.0,11.7
18,C.J._Anderson,DEN,5.0,ATL,home,L 16-23,11.0,41.0,3.7,0.0,4.0,3.0,21.0,7.0,0.0,7.7
19,C.J._Anderson,DEN,6.0,SD,away,L 13-21,10.0,37.0,3.7,0.0,5.0,4.0,34.0,8.5,0.0,9.1
20,C.J._Anderson,DEN,7.0,HOU,home,W 27-9,16.0,107.0,6.7,1.0,0.0,0.0,0.0,,0.0,16.7
22,Cameron_Artis-Payne,CAR,3.0,MIN,home,L 10-22,12.0,47.0,3.9,0.0,1.0,1.0,11.0,11.0,0.0,6.3
23,Cameron_Artis-Payne,CAR,4.0,ATL,away,L 33-48,6.0,12.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.2
24,Cameron_Artis-Payne,CAR,5.0,TB,home,L 14-17,18.0,85.0,4.7,2.0,0.0,0.0,0.0,,0.0,20.5
26,Matt_Asiata,MIN,1.0,TEN,away,W 25-16,4.0,13.0,3.3,0.0,0.0,0.0,0.0,,0.0,1.3
27,Matt_Asiata,MIN,2.0,GB,home,W 17-14,6.0,14.0,2.3,0.0,1.0,1.0,11.0,11.0,0.0,3.0
28,Matt_Asiata,MIN,3.0,CAR,away,W 22-10,6.0,15.0,2.5,0.0,1.0,1.0,4.0,4.0,0.0,2.4
29,Matt_Asiata,MIN,4.0,NYG,home,W 24-10,6.0,6.0,1.0,1.0,2.0,2.0,12.0,6.0,0.0,8.8
30,Matt_Asiata,MIN,5.0,HOU,home,W 31-13,14.0,55.0,3.9,1.0,3.0,3.0,46.0,15.3,0.0,17.6
31,Matt_Asiata,MIN,7.0,PHI,away,L 10-21,12.0,55.0,4.6,0.0,8.0,6.0,25.0,4.2,0.0,11.0
32,Kenjon_Barner,PHI,1.0,CLE,home,W 29-10,4.0,42.0,10.5,0.0,0.0,0.0,0.0,,0.0,4.2
33,Kenjon_Barner,PHI,2.0,CHI,away,W 29-14,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.2
34,Kenjon_Barner,PHI,3.0,PIT,home,W 34-3,8.0,42.0,5.3,1.0,0.0,0.0,0.0,,0.0,10.2
35,Kenjon_Barner,PHI,6.0,WAS,away,L 20-27,2.0,6.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.6
37,Le'Veon_Bell,PIT,4.0,KC,home,W 43-14,18.0,144.0,8.0,0.0,6.0,5.0,34.0,6.8,0.0,20.3
38,Le'Veon_Bell,PIT,5.0,NYJ,home,W 31-13,20.0,66.0,3.3,0.0,11.0,9.0,88.0,9.8,0.0,19.9
39,Le'Veon_Bell,PIT,6.0,MIA,away,L 15-30,10.0,53.0,5.3,0.0,7.0,6.0,55.0,9.2,0.0,13.8
40,Le'Veon_Bell,PIT,7.0,NE,home,L 16-27,21.0,81.0,3.9,0.0,13.0,10.0,68.0,6.8,0.0,19.9
41,Giovani_Bernard,CIN,1.0,NYJ,away,W 23-22,5.0,25.0,5.0,0.0,4.0,2.0,5.0,2.5,0.0,4.0
42,Giovani_Bernard,CIN,2.0,PIT,away,L 16-24,5.0,17.0,3.4,0.0,11.0,9.0,100.0,11.1,1.0,20.2
