,player,team,week,opp,loc,res,targets,receptions,rec_yards,yards_per_rec,rec_TD,fantasy_points
0,Jerell_Adams,NYG,5.0,GB,away,L 16-23,2.0,2.0,27.0,13.5,0.0,3.7
1,Jerell_Adams,NYG,7.0,LAR,away,W 17-10,1.0,1.0,5.0,5.0,0.0,1.0
2,Dwayne_Allen,IND,1.0,DET,home,L 35-39,6.0,4.0,53.0,13.3,1.0,13.3
3,Dwayne_Allen,IND,2.0,DEN,away,L 20-34,4.0,2.0,25.0,12.5,0.0,3.5
4,Dwayne_Allen,IND,3.0,SD,home,W 26-22,5.0,3.0,35.0,11.7,0.0,5.0
5,Dwayne_Allen,IND,4.0,JAC,away,L 27-30,4.0,2.0,20.0,10.0,0.0,3.0
6,Dwayne_Allen,IND,5.0,CHI,home,W 29-23,6.0,6.0,50.0,8.3,1.0,14.0
7,Dwayne_Allen,IND,6.0,HOU,away,L 23-26,2.0,1.0,9.0,9.0,0.0,1.4
8,Gary_Barnidge,CLE,1.0,PHI,away,L 10-29,2.0,0.0,0.0,,0.0,0.0
9,Gary_Barnidge,CLE,2.0,BAL,home,L 20-25,5.0,4.0,37.0,9.3,0.0,5.7
10,Gary_Barnidge,CLE,3.0,MIA,away,L 24-30,6.0,5.0,66.0,13.2,0.0,9.1
11,Gary_Barnidge,CLE,4.0,WAS,away,L 20-31,7.0,7.0,57.0,8.1,0.0,9.2
12,Gary_Barnidge,CLE,5.0,NE,home,L 13-33,8.0,5.0,76.0,15.2,0.0,10.1
13,Gary_Barnidge,CLE,6.0,TEN,away,L 26-28,5.0,3.0,59.0,19.7,0.0,7.4
14,Gary_Barnidge,CLE,7.0,CIN,away,L 17-31,7.0,6.0,66.0,11.0,0.0,9.6
15,Blake_Bell,SF,2.0,CAR,away,L 27-46,2.0,1.0,6.0,6.0,0.0,1.1
16,Blake_Bell,SF,3.0,SEA,away,L 18-37,1.0,0.0,0.0,,0.0,0.0
17,Blake_Bell,SF,5.0,ARI,home,L 21-33,2.0,1.0,4.0,4.0,0.0,0.9
19,Martellus_Bennett,NE,1.0,ARI,away,W 23-21,5.0,3.0,14.0,4.7,0.0,2.9
20,Martellus_Bennett,NE,2.0,MIA,home,W 31-24,6.0,5.0,114.0,22.8,1.0,19.9
21,Martellus_Bennett,NE,3.0,HOU,home,W 27-0,3.0,2.0,10.0,5.0,0.0,2.6
22,Martellus_Bennett,NE,4.0,BUF,home,L 0-16,6.0,5.0,109.0,21.8,0.0,13.4
23,Martellus_Bennett,NE,5.0,CLE,away,W 33-13,8.0,6.0,67.0,11.2,3.0,27.7
24,Martellus_Bennett,NE,6.0,CIN,home,W 35-17,5.0,5.0,48.0,9.6,0.0,7.3
25,Martellus_Bennett,NE,7.0,PIT,away,W 27-16,2.0,1.0,5.0,5.0,0.0,1.0
26,Brandon_Bostick,NYJ,2.0,BUF,away,W 37-31,1.0,0.0,0.0,,0.0,0.0
27,Brandon_Bostick,NYJ,5.0,PIT,away,L 13-31,1.0,1.0,9.0,9.0,0.0,1.4
28,Brandon_Bostick,NYJ,7.0,BAL,home,W 24-16,1.0,0.0,0.0,,0.0,0.0
29,Cameron_Brate,TB,1.0,ATL,away,W 31-24,4.0,3.0,30.0,10.0,0.0,4.5
30,Cameron_Brate,TB,2.0,ARI,away,L 7-40,4.0,3.0,16.0,5.3,0.0,3.1
