,player,team,week,opp,loc,res,targets,receptions,rec_yards,yards_per_rec,rec_TD,rush_attempts,rush_yards,yards_per_rush,rush_TD,fantasy_points
0,Jared_Abbrederis,GB,1.0,JAC,away,W 27-23,1.0,1.0,8.0,8.0,0.0,0.0,0.0,,0.0,1.3
1,Jared_Abbrederis,GB,6.0,DAL,home,L 16-30,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
3,Davante_Adams,GB,1.0,JAC,away,W 27-23,7.0,3.0,50.0,16.7,1.0,0.0,0.0,,0.0,12.5
4,Davante_Adams,GB,2.0,MIN,away,L 14-17,7.0,3.0,26.0,8.7,0.0,0.0,0.0,,0.0,2.1
5,Davante_Adams,GB,3.0,DET,home,W 34-27,2.0,2.0,23.0,11.5,1.0,0.0,0.0,,0.0,9.3
6,Davante_Adams,GB,5.0,NYG,home,W 23-16,8.0,5.0,85.0,17.0,1.0,0.0,0.0,,0.0,17.0
7,Davante_Adams,GB,6.0,DAL,home,L 16-30,3.0,2.0,34.0,17.0,0.0,0.0,0.0,,0.0,4.4
8,Davante_Adams,GB,7.0,CHI,home,W 26-10,16.0,13.0,132.0,10.2,2.0,0.0,0.0,,0.0,31.7
10,Nelson_Agholor,PHI,1.0,CLE,home,W 29-10,5.0,4.0,57.0,14.3,1.0,0.0,0.0,,0.0,13.7
11,Nelson_Agholor,PHI,2.0,CHI,away,W 29-14,7.0,4.0,42.0,10.5,0.0,0.0,0.0,,0.0,6.2
12,Nelson_Agholor,PHI,3.0,PIT,home,W 34-3,3.0,3.0,21.0,7.0,0.0,0.0,0.0,,0.0,3.6
13,Nelson_Agholor,PHI,5.0,DET,away,L 23-24,7.0,2.0,27.0,13.5,0.0,1.0,5.0,5.0,0.0,4.2
14,Nelson_Agholor,PHI,6.0,WAS,away,L 20-27,4.0,3.0,34.0,11.3,0.0,0.0,0.0,,0.0,4.9
15,Nelson_Agholor,PHI,7.0,MIN,home,W 21-10,6.0,2.0,10.0,5.0,0.0,0.0,0.0,,0.0,2.0
17,Kamar_Aiken,BAL,1.0,BUF,home,W 13-7,2.0,2.0,14.0,7.0,0.0,0.0,0.0,,0.0,2.4
18,Kamar_Aiken,BAL,2.0,CLE,away,W 25-20,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
19,Kamar_Aiken,BAL,3.0,JAC,away,W 19-17,1.0,1.0,5.0,5.0,0.0,0.0,0.0,,0.0,1.0
20,Kamar_Aiken,BAL,4.0,OAK,home,L 27-28,4.0,3.0,9.0,3.0,0.0,0.0,0.0,,0.0,2.4
21,Kamar_Aiken,BAL,5.0,WAS,home,L 10-16,3.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
22,Kamar_Aiken,BAL,6.0,NYG,away,L 23-27,6.0,4.0,64.0,16.0,0.0,0.0,0.0,,0.0,8.4
23,Kamar_Aiken,BAL,7.0,NYJ,away,L 16-24,6.0,3.0,55.0,18.3,0.0,0.0,0.0,,0.0,7.0
25,Keenan_Allen,SD,1.0,KC,away,L 27-33,7.0,6.0,63.0,10.5,0.0,0.0,0.0,,0.0,9.3
27,Danny_Amendola,NE,1.0,ARI,away,W 23-21,4.0,3.0,48.0,16.0,0.0,0.0,0.0,,0.0,6.3
28,Danny_Amendola,NE,2.0,MIA,home,W 31-24,4.0,4.0,50.0,12.5,2.0,0.0,0.0,,0.0,17.0
29,Danny_Amendola,NE,3.0,HOU,home,W 27-0,2.0,2.0,23.0,11.5,0.0,0.0,0.0,,0.0,3.3
30,Danny_Amendola,NE,4.0,BUF,home,L 0-16,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
31,Danny_Amendola,NE,5.0,CLE,away,W 33-13,2.0,2.0,11.0,5.5,0.0,0.0,0.0,,0.0,2.1
32,Danny_Amendola,NE,6.0,CIN,home,W 35-17,2.0,2.0,30.0,15.0,0.0,0.0,0.0,,0.0,4.0
33,Tavon_Austin,LAR,1.0,SF,away,L 0-28,12.0,4.0,13.0,3.3,0.0,1.0,2.0,2.0,0.0,3.5
34,Tavon_Austin,LAR,2.0,SEA,home,W 9-3,9.0,5.0,50.0,10.0,0.0,2.0,6.0,3.0,0.0,8.1
